,date,grocery,sub_region_2
284065,2/15/20,2.0,Alachua County
284066,2/16/20,-1.0,Alachua County
284067,2/17/20,-3.0,Alachua County
284068,2/18/20,0.0,Alachua County
284069,2/19/20,-2.0,Alachua County
284070,2/20/20,-1.0,Alachua County
284071,2/21/20,-3.0,Alachua County
284072,2/22/20,-2.0,Alachua County
284073,2/23/20,0.0,Alachua County
284074,2/24/20,-1.0,Alachua County
284075,2/25/20,-8.0,Alachua County
284076,2/26/20,-3.0,Alachua County
284077,2/27/20,6.0,Alachua County
284078,2/28/20,7.0,Alachua County
284079,2/29/20,4.0,Alachua County
284080,3/1/20,5.0,Alachua County
284081,3/2/20,4.0,Alachua County
284082,3/3/20,5.0,Alachua County
284083,3/4/20,1.0,Alachua County
284084,3/5/20,1.0,Alachua County
284085,3/6/20,1.0,Alachua County
284086,3/7/20,2.0,Alachua County
284087,3/8/20,4.0,Alachua County
284088,3/9/20,4.0,Alachua County
284089,3/10/20,4.0,Alachua County
284090,3/11/20,9.0,Alachua County
284091,3/12/20,13.0,Alachua County
284092,3/13/20,16.0,Alachua County
284093,3/14/20,14.0,Alachua County
284094,3/15/20,7.0,Alachua County
284095,3/16/20,11.0,Alachua County
284096,3/17/20,9.0,Alachua County
284097,3/18/20,3.0,Alachua County
284098,3/19/20,0.0,Alachua County
284099,3/20/20,3.0,Alachua County
284100,3/21/20,-2.0,Alachua County
284101,3/22/20,-11.0,Alachua County
284102,3/23/20,-3.0,Alachua County
284103,3/24/20,-20.0,Alachua County
284104,3/25/20,-20.0,Alachua County
284105,3/26/20,-20.0,Alachua County
284106,3/27/20,-21.0,Alachua County
284107,3/28/20,-22.0,Alachua County
284108,3/29/20,-26.0,Alachua County
284109,3/30/20,-22.0,Alachua County
284110,3/31/20,-22.0,Alachua County
284111,4/1/20,-17.0,Alachua County
284112,4/2/20,-19.0,Alachua County
284113,4/3/20,-21.0,Alachua County
284114,4/4/20,-23.0,Alachua County
284115,4/5/20,-30.0,Alachua County
284116,4/6/20,-25.0,Alachua County
284117,4/7/20,-24.0,Alachua County
284118,4/8/20,-26.0,Alachua County
284119,4/9/20,-23.0,Alachua County
284120,4/10/20,-22.0,Alachua County
284121,4/11/20,-19.0,Alachua County
284122,4/12/20,-54.0,Alachua County
284123,4/13/20,-27.0,Alachua County
284124,4/14/20,-31.0,Alachua County
284125,4/15/20,-27.0,Alachua County
